ID,Age_Group,Gender,Employment,Income,Education,Cafe_Frequency,Reading_Frequency,Visit_Reason,Coffee_Preferences,Food_Preferences,Favorite_Genres,Avg_Spend_AED,Total_Spend_AED,Willing_Pay_Membership,Consider_Membership,Visit_Likelihood,Will_Recommend
442,55+,Female,Retired,"20,001 - 35,000",Master's Degree,2-3 times per week,Occasional reader (1-2 times per week),Coffee/beverages quality|Social meetings with friends/colleagues,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)","No food, just beverages|Pastries (croissants, muffins)|Sandwiches/Wraps",Children's/Young Adult|Comics/Graphic Novels|Fiction - Science Fiction/Fantasy|Poetry,31,60,248,Maybe,Definitely will visit,Probably yes
443,35-44,Female,Self-employed/Business owner,Prefer not to say,Bachelor's Degree,Rarely/Never,Daily reader (read every day),Work/study in a different environment,"Fresh Juices/Smoothies|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)",International cuisine options|Vegan/Healthy options,Comics/Graphic Novels|Fiction - Literary|Non-Fiction - History/Politics|Other,41,64,184,Maybe,Might visit,Maybe
444,55+,Male,Part-time employed,"5,000 - 10,000",Diploma/Vocational Training,Once a week,Occasional reader (1-2 times per week),Social meetings with friends/colleagues,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate|Tea (Black, Green, Herbal)",Breakfast items|International cuisine options|Salads|Vegan/Healthy options,Fiction - Literary|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help,16,26,165,Maybe,Definitely will visit,Definitely yes
445,45-54,Female,Full-time employed,"35,001 - 50,000",Bachelor's Degree,4-6 times per week,Regular reader (3-5 times per week),Coffee/beverages quality|Work/study in a different environment,Cold Brew/Iced Coffee|Hot Chocolate|Non-caffeinated beverages only,"Breakfast items|Desserts (cakes, brownies)|International cuisine options",Fiction - Contemporary/Romance|Non-Fiction - Biography/Memoir,41,73,265,"Yes, definitely",Probably will visit,Probably yes
446,35-44,Female,Full-time employed,"Above 75,000",Master's Degree,Daily,Regular reader (3-5 times per week),Social meetings with friends/colleagues,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","Light snacks (cookies, biscuits)|Salads",Children's/Young Adult|Fiction - Mystery/Thriller|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Poetry,95,231,0,Definitely not,Definitely will visit,Definitely yes
447,35-44,Male,Full-time employed,"50,001 - 75,000",Master's Degree,Rarely/Never,Monthly reader (few times a month),Coffee/beverages quality|Food quality,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only","Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Salads|Traditional Arabic sweets",Comics/Graphic Novels|Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology,62,153,272,"Yes, definitely",Probably will visit,Probably yes
448,35-44,Female,Part-time employed,"10,001 - 20,000",Bachelor's Degree,Once a week,Occasional reader (1-2 times per week),Coffee/beverages quality,"Filter/Drip Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)",Breakfast items|Vegan/Healthy options,Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Other|Religious/Spiritual,32,71,163,"Yes, depending on price",Definitely will visit,Probably yes
449,45-54,Female,Homemaker,"50,001 - 75,000",Master's Degree,Daily,Occasional reader (1-2 times per week),"Coffee/beverages quality|Relaxation and ""me-time""","Cold Brew/Iced Coffee|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Desserts (cakes, brownies)|Pastries (croissants, muffins)|Traditional Arabic sweets",Non-Fiction - Biography/Memoir|Poetry,69,166,291,"Yes, definitely",Might visit,Probably not
450,35-44,Male,Full-time employed,"10,001 - 20,000",Bachelor's Degree,Once a week,Regular reader (3-5 times per week),"Coffee/beverages quality|Relaxation and ""me-time""","Filter/Drip Coffee|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)","Breakfast items|Light snacks (cookies, biscuits)|Salads|Traditional Arabic sweets",Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Poetry,31,51,174,Maybe,Probably will visit,Probably yes
451,45-54,Female,Full-time employed,"50,001 - 75,000",Bachelor's Degree,4-6 times per week,Daily reader (read every day),Work/study in a different environment,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Tea (Black, Green, Herbal)","Pastries (croissants, muffins)|Sandwiches/Wraps",Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Religious/Spiritual,62,130,0,Probably not,Definitely will visit,Definitely yes
452,35-44,Female,Self-employed/Business owner,"5,000 - 10,000",Bachelor's Degree,2-3 times per week,Regular reader (3-5 times per week),Ambiance and interior design|Food quality,"Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)","Desserts (cakes, brownies)|No food, just beverages|Traditional Arabic sweets",Fiction - Literary|Other|Poetry|Religious/Spiritual,22,32,110,"Yes, depending on price",Probably will visit,Maybe
453,25-34,Female,Full-time employed,Prefer not to say,Bachelor's Degree,4-6 times per week,Non-reader,Coffee/beverages quality,Arabic/Turkish Coffee|Filter/Drip Coffee|Fresh Juices/Smoothies,"Pastries (croissants, muffins)|Salads|Sandwiches/Wraps|Vegan/Healthy options",Unknown,28,62,0,Definitely not,Might visit,Probably not
454,25-34,Male,Full-time employed,"10,001 - 20,000",Bachelor's Degree,Once a month,Regular reader (3-5 times per week),Business meetings,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)",International cuisine options|Salads|Sandwiches/Wraps,Fiction - Contemporary/Romance|Fiction - Mystery/Thriller|Other,37,75,0,Probably not,Definitely will visit,Probably yes
455,25-34,Prefer not to say,Full-time employed,"20,001 - 35,000",Bachelor's Degree,2-3 times per month,Occasional reader (1-2 times per week),Social meetings with friends/colleagues,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate|Non-caffeinated beverages only",International cuisine options|Sandwiches/Wraps,Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Poetry,35,79,233,"Yes, definitely",Definitely will visit,Definitely yes
456,35-44,Male,Full-time employed,"35,001 - 50,000",Master's Degree,2-3 times per week,Daily reader (read every day),Food quality|Free WiFi,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Breakfast items|Light snacks (cookies, biscuits)|No food, just beverages|Traditional Arabic sweets",Non-Fiction - Biography/Memoir|Other,50,86,220,"Yes, depending on price",Definitely will visit,Definitely yes
457,45-54,Male,Homemaker,"50,001 - 75,000",Master's Degree,2-3 times per month,Daily reader (read every day),Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Filter/Drip Coffee|Hot Chocolate|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|No food, just beverages|Sandwiches/Wraps",Fiction - Contemporary/Romance|Non-Fiction - Biography/Memoir,71,198,0,Probably not,Definitely will visit,Probably yes
458,35-44,Male,Full-time employed,"50,001 - 75,000",Master's Degree,2-3 times per month,Regular reader (3-5 times per week),"Coffee/beverages quality|Relaxation and ""me-time""","Flavored Coffee (Vanilla, Caramel, Hazelnut)|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|International cuisine options|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)",Fiction - Literary|Non-Fiction - History/Politics|Other|Poetry|Religious/Spiritual,50,138,0,Probably not,Probably will visit,Maybe
459,35-44,Female,Part-time employed,"5,000 - 10,000",Master's Degree,2-3 times per week,Regular reader (3-5 times per week),Food quality,"Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|Traditional Arabic sweets",Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Science/Technology,19,25,183,"Yes, depending on price",Probably will visit,Definitely yes
460,25-34,Female,Full-time employed,"20,001 - 35,000",Master's Degree,Once a week,Monthly reader (few times a month),Food quality,Hot Chocolate|Non-caffeinated beverages only,Salads|Traditional Arabic sweets|Vegan/Healthy options,Fiction - Science Fiction/Fantasy|Other,33,60,0,Probably not,Probably will visit,Definitely yes
461,18-24,Female,Full-time employed,"20,001 - 35,000",Bachelor's Degree,2-3 times per week,Occasional reader (1-2 times per week),Work/study in a different environment,Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Filter/Drip Coffee|Fresh Juices/Smoothies,"Breakfast items|Light snacks (cookies, biscuits)|No food, just beverages|Traditional Arabic sweets",Children's/Young Adult|Fiction - Literary,49,94,175,Maybe,Might visit,Probably yes
462,25-34,Male,Full-time employed,"Less than 5,000",Master's Degree,Once a week,Regular reader (3-5 times per week),Ambiance and interior design|Work/study in a different environment,"Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Non-caffeinated beverages only","International cuisine options|Pastries (croissants, muffins)",Fiction - Literary|Fiction - Science Fiction/Fantasy|Other,12,26,0,Probably not,Definitely will visit,Definitely yes
463,25-34,Male,Full-time employed,"35,001 - 50,000",Diploma/Vocational Training,2-3 times per week,Non-reader,Business meetings,"Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)","International cuisine options|No food, just beverages|Pastries (croissants, muffins)|Sandwiches/Wraps",Unknown,60,124,263,"Yes, definitely",Might visit,Probably yes
464,25-34,Female,Full-time employed,"50,001 - 75,000",Diploma/Vocational Training,4-6 times per week,Regular reader (3-5 times per week),Work/study in a different environment,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Breakfast items|No food, just beverages|Vegan/Healthy options",Children's/Young Adult|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics,59,186,285,"Yes, depending on price",Probably will visit,Probably yes
465,35-44,Male,Full-time employed,Prefer not to say,Bachelor's Degree,2-3 times per month,Regular reader (3-5 times per week),Business meetings,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Tea (Black, Green, Herbal)","Pastries (croissants, muffins)|Sandwiches/Wraps",Fiction - Literary|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Poetry,37,53,0,Definitely not,Definitely will visit,Definitely yes
466,18-24,Male,Full-time employed,"10,001 - 20,000",Diploma/Vocational Training,2-3 times per month,Occasional reader (1-2 times per week),Free WiFi|Social meetings with friends/colleagues,Arabic/Turkish Coffee|Cold Brew/Iced Coffee,"Breakfast items|No food, just beverages|Vegan/Healthy options",Fiction - Science Fiction/Fantasy|Religious/Spiritual,35,67,0,Definitely not,Probably will visit,Probably yes
467,25-34,Female,Full-time employed,"Above 75,000",Bachelor's Degree,2-3 times per week,Regular reader (3-5 times per week),Coffee/beverages quality,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|Salads|Traditional Arabic sweets|Vegan/Healthy options",Fiction - Science Fiction/Fantasy|Religious/Spiritual,81,175,426,"Yes, depending on price",Probably will visit,Probably yes
468,35-44,Female,Homemaker,"5,000 - 10,000",Master's Degree,2-3 times per week,Occasional reader (1-2 times per week),"Location convenience|Relaxation and ""me-time""","Arabic/Turkish Coffee|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)","Breakfast items|Desserts (cakes, brownies)|International cuisine options|No food, just beverages",Comics/Graphic Novels|Fiction - Contemporary/Romance|Non-Fiction - Biography/Memoir|Other|Religious/Spiritual,27,45,188,Maybe,Definitely will visit,Probably yes
469,35-44,Male,Full-time employed,"35,001 - 50,000",Master's Degree,2-3 times per week,Occasional reader (1-2 times per week),Coffee/beverages quality,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Hot Chocolate|Non-caffeinated beverages only",Breakfast items|International cuisine options|Salads|Vegan/Healthy options,Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Poetry,38,87,0,Probably not,Definitely will visit,Probably yes
470,18-24,Prefer not to say,Student,"Less than 5,000",High School or below,Rarely/Never,Occasional reader (1-2 times per week),Work/study in a different environment,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only","International cuisine options|Light snacks (cookies, biscuits)|Salads",Non-Fiction - Business/Self-Help|Poetry,25,41,0,Definitely not,Definitely won't visit,Probably not
471,25-34,Female,Self-employed/Business owner,"10,001 - 20,000",Other,Once a week,Monthly reader (few times a month),Ambiance and interior design|Location convenience,"Arabic/Turkish Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only","Breakfast items|Desserts (cakes, brownies)|International cuisine options",Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Religious/Spiritual,25,33,0,Probably not,Might visit,Maybe
472,35-44,Male,Self-employed/Business owner,"20,001 - 35,000",High School or below,4-6 times per week,Monthly reader (few times a month),Social meetings with friends/colleagues,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies",Breakfast items|Vegan/Healthy options,Fiction - Contemporary/Romance|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics,50,98,236,Maybe,Probably will visit,Probably yes
473,25-34,Female,Unemployed,"10,001 - 20,000",High School or below,Rarely/Never,Regular reader (3-5 times per week),"Coffee/beverages quality|Relaxation and ""me-time""",Cold Brew/Iced Coffee|Non-caffeinated beverages only,Breakfast items|Vegan/Healthy options,Fiction - Literary|Non-Fiction - Science/Technology|Poetry|Religious/Spiritual,25,42,138,Maybe,Definitely will visit,Definitely yes
474,25-34,Male,Self-employed/Business owner,"35,001 - 50,000",Diploma/Vocational Training,2-3 times per week,Regular reader (3-5 times per week),Work/study in a different environment,Arabic/Turkish Coffee|Hot Chocolate,"Breakfast items|International cuisine options|No food, just beverages|Sandwiches/Wraps",Comics/Graphic Novels|Fiction - Contemporary/Romance|Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - History/Politics,39,86,335,"Yes, definitely",Probably will visit,Maybe
475,25-34,Female,Full-time employed,"50,001 - 75,000",Doctorate/PhD,Daily,Occasional reader (1-2 times per week),"Ambiance and interior design|Relaxation and ""me-time""","Espresso-based (Cappuccino, Latte, Americano)|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Vegan/Healthy options",Non-Fiction - Business/Self-Help|Other|Religious/Spiritual,46,93,0,Probably not,Definitely will visit,Definitely yes
476,55+,Female,Homemaker,"35,001 - 50,000",Bachelor's Degree,Daily,Regular reader (3-5 times per week),Ambiance and interior design|Food quality,Filter/Drip Coffee|Hot Chocolate|Non-caffeinated beverages only,"No food, just beverages|Salads|Vegan/Healthy options",Fiction - Literary|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology,36,66,254,"Yes, depending on price",Probably will visit,Maybe
477,35-44,Female,Full-time employed,"35,001 - 50,000",High School or below,Daily,Regular reader (3-5 times per week),Ambiance and interior design|Free WiFi,"Espresso-based (Cappuccino, Latte, Americano)|Tea (Black, Green, Herbal)","Breakfast items|Pastries (croissants, muffins)|Traditional Arabic sweets",Fiction - Literary|Fiction - Science Fiction/Fantasy|Poetry,42,72,247,Maybe,Definitely will visit,Definitely yes
478,35-44,Female,Homemaker,Prefer not to say,Diploma/Vocational Training,Once a month,Monthly reader (few times a month),"Location convenience|Relaxation and ""me-time""",Fresh Juices/Smoothies|Non-caffeinated beverages only,Breakfast items|Salads|Sandwiches/Wraps,Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Other,37,63,149,Maybe,Probably will visit,Probably yes
479,45-54,Female,Part-time employed,"20,001 - 35,000",High School or below,Once a week,Monthly reader (few times a month),Food quality|Location convenience,"Cold Brew/Iced Coffee|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)","Breakfast items|International cuisine options|Light snacks (cookies, biscuits)|Traditional Arabic sweets",Comics/Graphic Novels|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Non-Fiction - Science/Technology,45,94,287,"Yes, depending on price",Might visit,Probably not
480,45-54,Male,Full-time employed,"20,001 - 35,000",High School or below,2-3 times per week,Monthly reader (few times a month),Food quality|Free WiFi,"Cold Brew/Iced Coffee|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|No food, just beverages|Pastries (croissants, muffins)|Vegan/Healthy options",Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Poetry|Religious/Spiritual,33,50,171,"Yes, depending on price",Probably will visit,Maybe
481,25-34,Male,Full-time employed,"35,001 - 50,000",Bachelor's Degree,Rarely/Never,Regular reader (3-5 times per week),"Coffee/beverages quality|Relaxation and ""me-time""","Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies","Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Traditional Arabic sweets",Fiction - Literary|Religious/Spiritual,46,63,0,Probably not,Definitely will visit,Maybe
482,18-24,Male,Part-time employed,"20,001 - 35,000",Other,4-6 times per week,Rare reader (few times a year),"Relaxation and ""me-time""","Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Tea (Black, Green, Herbal)",Traditional Arabic sweets|Vegan/Healthy options,Unknown,36,61,0,Definitely not,Definitely will visit,Probably yes
483,25-34,Male,Full-time employed,"5,000 - 10,000",Bachelor's Degree,2-3 times per month,Occasional reader (1-2 times per week),Ambiance and interior design,"Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Non-caffeinated beverages only","Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Vegan/Healthy options",Fiction - Literary|Non-Fiction - Business/Self-Help,23,37,0,Definitely not,Definitely will visit,Definitely yes
484,45-54,Male,Homemaker,"35,001 - 50,000",Bachelor's Degree,2-3 times per week,Daily reader (read every day),Social meetings with friends/colleagues,"Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate|Non-caffeinated beverages only","Desserts (cakes, brownies)|International cuisine options|No food, just beverages|Vegan/Healthy options",Comics/Graphic Novels|Fiction - Contemporary/Romance|Fiction - Literary|Fiction - Mystery/Thriller|Religious/Spiritual,37,65,0,Probably not,Definitely will visit,Maybe
485,45-54,Male,Homemaker,"10,001 - 20,000",Master's Degree,2-3 times per month,Regular reader (3-5 times per week),Business meetings|Social meetings with friends/colleagues,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only",Breakfast items|Vegan/Healthy options,Children's/Young Adult|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics,25,51,178,"Yes, depending on price",Probably will visit,Maybe
486,55+,Male,Full-time employed,"20,001 - 35,000",Bachelor's Degree,2-3 times per month,Regular reader (3-5 times per week),Social meetings with friends/colleagues,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","Breakfast items|Pastries (croissants, muffins)",Children's/Young Adult|Non-Fiction - History/Politics,31,52,0,Definitely not,Definitely will visit,Definitely yes
487,25-34,Male,Unemployed,"10,001 - 20,000",Doctorate/PhD,2-3 times per month,Rare reader (few times a year),"Relaxation and ""me-time""|Work/study in a different environment","Fresh Juices/Smoothies|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)","Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Traditional Arabic sweets|Vegan/Healthy options",Unknown,38,82,132,"Yes, depending on price",Probably will visit,Maybe
488,35-44,Female,Full-time employed,"35,001 - 50,000",Master's Degree,2-3 times per week,Occasional reader (1-2 times per week),Business meetings|Work/study in a different environment,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Tea (Black, Green, Herbal)","International cuisine options|No food, just beverages",Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help,60,87,164,"Yes, depending on price",Definitely will visit,Probably yes
489,35-44,Male,Self-employed/Business owner,"Above 75,000",Bachelor's Degree,4-6 times per week,Occasional reader (1-2 times per week),Ambiance and interior design,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Light snacks (cookies, biscuits)|No food, just beverages|Traditional Arabic sweets",Fiction - Contemporary/Romance|Fiction - Literary|Fiction - Science Fiction/Fantasy|Other,68,223,446,Maybe,Probably will visit,Probably yes
490,35-44,Male,Unemployed,"5,000 - 10,000",Bachelor's Degree,2-3 times per month,Occasional reader (1-2 times per week),Coffee/beverages quality,"Arabic/Turkish Coffee|Hot Chocolate|Tea (Black, Green, Herbal)","International cuisine options|Pastries (croissants, muffins)",Comics/Graphic Novels|Fiction - Contemporary/Romance|Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - Science/Technology,18,26,125,Maybe,Definitely will visit,Maybe
491,25-34,Female,Homemaker,Prefer not to say,Diploma/Vocational Training,2-3 times per month,Occasional reader (1-2 times per week),Free WiFi|Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies","International cuisine options|Pastries (croissants, muffins)",Comics/Graphic Novels|Fiction - Literary|Non-Fiction - Science/Technology|Religious/Spiritual,41,71,92,"Yes, depending on price",Probably will visit,Probably yes
492,25-34,Male,Full-time employed,"5,000 - 10,000",Bachelor's Degree,2-3 times per month,Occasional reader (1-2 times per week),Business meetings,"Arabic/Turkish Coffee|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate","Breakfast items|Pastries (croissants, muffins)|Salads|Traditional Arabic sweets",Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy,30,44,0,Probably not,Definitely will visit,Definitely yes
493,25-34,Female,Part-time employed,"10,001 - 20,000",Master's Degree,Once a week,Daily reader (read every day),"Relaxation and ""me-time""","Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies","Desserts (cakes, brownies)|Salads|Sandwiches/Wraps|Vegan/Healthy options",Children's/Young Adult|Fiction - Literary|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Other,40,80,156,"Yes, depending on price",Probably will visit,Probably yes
494,18-24,Male,Full-time employed,"10,001 - 20,000",Diploma/Vocational Training,2-3 times per week,Monthly reader (few times a month),Coffee/beverages quality,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","International cuisine options|No food, just beverages|Salads|Traditional Arabic sweets",Fiction - Contemporary/Romance|Fiction - Literary|Non-Fiction - Business/Self-Help|Other|Religious/Spiritual,24,48,185,Maybe,Probably will visit,Definitely yes
495,25-34,Male,Self-employed/Business owner,"50,001 - 75,000",High School or below,2-3 times per week,Non-reader,Business meetings|Food quality,"Cold Brew/Iced Coffee|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|No food, just beverages",Fiction - Science Fiction/Fantasy|Non-Fiction - Science/Technology,52,138,471,"Yes, definitely",Might visit,Maybe
496,35-44,Female,Homemaker,"50,001 - 75,000",Bachelor's Degree,2-3 times per week,Occasional reader (1-2 times per week),Coffee/beverages quality|Location convenience,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Hot Chocolate|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|International cuisine options|Vegan/Healthy options",Children's/Young Adult|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Other,60,176,489,Maybe,Definitely won't visit,Definitely not
497,25-34,Female,Full-time employed,"Above 75,000",Bachelor's Degree,Once a week,Monthly reader (few times a month),"Ambiance and interior design|Relaxation and ""me-time""","Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Tea (Black, Green, Herbal)","Light snacks (cookies, biscuits)|Sandwiches/Wraps|Traditional Arabic sweets|Vegan/Healthy options",Children's/Young Adult|Fiction - Literary|Non-Fiction - History/Politics|Poetry|Religious/Spiritual,87,225,0,Probably not,Definitely won't visit,Probably not
498,25-34,Female,Unemployed,"Less than 5,000",Bachelor's Degree,2-3 times per week,Occasional reader (1-2 times per week),Coffee/beverages quality,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)","Desserts (cakes, brownies)|International cuisine options|No food, just beverages",Comics/Graphic Novels|Fiction - Literary|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Other,15,20,0,Probably not,Definitely will visit,Definitely yes
499,25-34,Female,Full-time employed,"20,001 - 35,000",Diploma/Vocational Training,Once a week,Occasional reader (1-2 times per week),Coffee/beverages quality|Food quality,"Cold Brew/Iced Coffee|Tea (Black, Green, Herbal)","International cuisine options|Light snacks (cookies, biscuits)|Sandwiches/Wraps",Non-Fiction - Science/Technology|Other,30,42,323,"Yes, depending on price",Definitely will visit,Definitely yes
500,18-24,Female,Student,"Less than 5,000",High School or below,Once a week,Occasional reader (1-2 times per week),Food quality,Cold Brew/Iced Coffee|Filter/Drip Coffee,"Light snacks (cookies, biscuits)|Sandwiches/Wraps",Children's/Young Adult|Non-Fiction - Biography/Memoir|Poetry,16,28,80,"Yes, depending on price",Probably will visit,Definitely yes
501,35-44,Male,Self-employed/Business owner,Prefer not to say,Diploma/Vocational Training,2-3 times per week,Monthly reader (few times a month),Coffee/beverages quality,"Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Desserts (cakes, brownies)|No food, just beverages|Vegan/Healthy options",Children's/Young Adult|Comics/Graphic Novels|Non-Fiction - Biography/Memoir,50,88,125,"Yes, depending on price",Definitely will visit,Definitely yes
502,18-24,Male,Part-time employed,"Less than 5,000",High School or below,Once a week,Regular reader (3-5 times per week),"Relaxation and ""me-time""","Fresh Juices/Smoothies|Hot Chocolate|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|International cuisine options|No food, just beverages|Pastries (croissants, muffins)",Children's/Young Adult|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Religious/Spiritual,14,24,0,Probably not,Probably will visit,Probably yes
503,25-34,Male,Self-employed/Business owner,"10,001 - 20,000",Diploma/Vocational Training,Once a month,Monthly reader (few times a month),Food quality,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Tea (Black, Green, Herbal)","Breakfast items|Light snacks (cookies, biscuits)",Children's/Young Adult|Non-Fiction - Science/Technology|Other|Poetry,29,48,178,Maybe,Might visit,Maybe
